Node,Type,Average Depth Feet,Maximum Depth Feet,Maximum HGL Feet,Time of Max Occurence days,hr:min, Reported Max Depth Feet
1,JUNCTION,0.00,0.00,10.01,0,00:00,0.00
2,JUNCTION,0.00,0.00,8.99,0,00:00,0.00
3,JUNCTION,0.00,0.00,-3.22,0,00:00,0.00
4,JUNCTION,0.00,0.00,-1.56,0,00:00,0.00
5,JUNCTION,0.00,0.00,8.59,0,00:00,0.00
6,JUNCTION,0.00,0.00,1.67,0,00:00,0.00
7,JUNCTION,0.00,0.00,-2.26,0,00:00,0.00
8,JUNCTION,40.32,40.32,-7.67,7,23:21,40.32
9,JUNCTION,40.29,40.29,-7.67,7,23:21,40.29
10,JUNCTION,68.20,68.20,-7.67,7,23:04,68.20
11,JUNCTION,78.14,78.14,-7.67,7,23:38,78.14
12,JUNCTION,10.76,10.76,-7.67,7,22:56,10.76
13,JUNCTION,4.13,4.13,-7.67,7,22:55,4.13
14,JUNCTION,4.02,4.02,-7.67,7,22:01,4.02
15,JUNCTION,16.81,16.81,-7.67,7,23:29,16.81
16,JUNCTION,0.25,0.25,-7.67,7,23:29,0.25
19,JUNCTION,0.00,0.00,-18.80,0,00:00,0.00
20,JUNCTION,0.00,0.00,-23.80,0,00:00,0.00
21,JUNCTION,0.00,0.00,-21.00,0,00:00,0.00
22,JUNCTION,0.00,0.00,-12.50,0,00:00,0.00
23,JUNCTION,0.00,0.00,-5.20,0,00:00,0.00
24,JUNCTION,0.00,0.00,6.50,0,00:00,0.00
25,JUNCTION,0.00,0.00,6.30,0,00:00,0.00
26,JUNCTION,0.00,0.00,-11.60,0,00:00,0.00
27,JUNCTION,0.00,0.00,-11.90,0,00:00,0.00
28,JUNCTION,0.00,0.00,-8.00,0,00:00,0.00
29,JUNCTION,0.00,0.00,-8.00,0,00:00,0.00
30,JUNCTION,0.00,0.00,-21.70,0,00:00,0.00
31,JUNCTION,0.00,0.00,-21.80,0,00:00,0.00
32,JUNCTION,0.00,0.00,-47.60,0,00:00,0.00
33,JUNCTION,0.00,0.00,-44.50,0,00:00,0.00
34,JUNCTION,0.00,0.00,-11.70,0,00:00,0.00
35,JUNCTION,0.00,0.00,21.17,0,00:00,0.00
36,JUNCTION,0.00,0.00,5.30,0,00:00,0.00
37,JUNCTION,0.00,0.00,5.40,0,00:00,0.00
38,JUNCTION,0.00,0.00,-13.00,0,00:00,0.00
39,JUNCTION,0.00,0.00,-13.30,0,00:00,0.00
40,JUNCTION,0.00,0.00,-34.20,0,00:00,0.00
41,JUNCTION,0.00,0.00,-34.20,0,00:00,0.00
42,JUNCTION,0.00,0.00,-61.50,0,00:00,0.00
43,JUNCTION,0.00,0.00,-64.90,0,00:00,0.00
44,JUNCTION,0.00,0.00,-26.20,0,00:00,0.00
45,JUNCTION,0.00,0.00,-26.20,0,00:00,0.00
46,JUNCTION,0.00,0.00,-16.40,0,00:00,0.00
47,JUNCTION,0.00,0.00,-16.50,0,00:00,0.00
48,JUNCTION,0.00,0.00,-27.80,0,00:00,0.00
49,JUNCTION,0.00,0.00,-14.30,0,00:00,0.00
50,JUNCTION,0.00,0.00,-14.30,0,00:00,0.00
51,JUNCTION,0.00,0.00,-10.50,0,00:00,0.00
52,JUNCTION,0.00,0.00,3.00,0,00:00,0.00
53,JUNCTION,0.00,0.00,-22.10,0,00:00,0.00
54,JUNCTION,0.00,0.00,-0.90,0,00:00,0.00
55,JUNCTION,0.00,0.00,0.00,0,00:00,0.00
56,JUNCTION,0.00,0.00,-13.70,0,00:00,0.00
57,JUNCTION,0.00,0.00,-13.20,0,00:00,0.00
58,JUNCTION,0.00,0.00,-20.50,0,00:00,0.00
59,JUNCTION,0.00,0.00,-20.60,0,00:00,0.00
60,JUNCTION,0.00,0.00,7.19,0,00:00,0.00
61,JUNCTION,0.00,0.00,12.80,0,00:00,0.00
62,JUNCTION,0.00,0.00,15.00,0,00:00,0.00
63,JUNCTION,0.00,0.00,22.00,0,00:00,0.00
64,JUNCTION,0.00,0.00,18.00,0,00:00,0.00
65,JUNCTION,0.00,0.00,11.00,0,00:00,0.00
66,JUNCTION,0.00,0.00,-3.00,0,00:00,0.00
67,JUNCTION,0.00,0.00,-5.70,0,00:00,0.00
70,JUNCTION,0.00,0.00,-26.00,0,00:00,0.00
71,JUNCTION,0.00,0.00,-11.19,0,00:00,0.00
72,JUNCTION,0.00,0.00,-16.30,0,00:00,0.00
73,JUNCTION,0.00,0.00,-17.00,0,00:00,0.00
74,JUNCTION,0.00,0.00,-5.00,0,00:00,0.00
75,JUNCTION,0.00,0.00,-11.90,0,00:00,0.00
76,JUNCTION,0.00,0.00,-3.00,0,00:00,0.00
77,JUNCTION,0.00,0.00,-6.25,0,00:00,0.00
78,JUNCTION,0.00,0.00,-19.70,0,00:00,0.00
79,JUNCTION,0.00,0.00,-19.70,0,00:00,0.00
80,JUNCTION,0.00,0.00,-12.60,0,00:00,0.00
81,JUNCTION,0.00,0.00,-12.60,0,00:00,0.00
82,JUNCTION,0.00,0.00,-5.00,0,00:00,0.00
83,JUNCTION,0.00,0.00,-16.10,0,00:00,0.00
84,JUNCTION,0.00,0.00,-16.10,0,00:00,0.00
85,JUNCTION,0.00,0.00,-43.70,0,00:00,0.00
86,JUNCTION,0.00,0.00,-51.30,0,00:00,0.00
87,JUNCTION,0.00,0.00,-40.00,0,00:00,0.00
88,JUNCTION,0.00,0.00,-37.00,0,00:00,0.00
89,JUNCTION,0.00,0.00,-37.00,0,00:00,0.00
90,JUNCTION,0.00,0.00,-23.00,0,00:00,0.00
91,JUNCTION,0.00,0.00,-4.80,0,00:00,0.00
92,JUNCTION,0.00,0.00,-0.80,0,00:00,0.00
18,JUNCTION,0.00,0.00,-16.30,0,00:00,0.00
100,JUNCTION,0.00,0.00,-28.62,0,00:00,0.00
102,JUNCTION,0.00,0.00,-25.64,0,00:00,0.00
103,JUNCTION,0.00,0.00,-22.38,0,00:00,0.00
104,JUNCTION,0.00,0.00,-22.37,0,00:00,0.00
105,JUNCTION,0.00,0.00,-20.44,0,00:00,0.00
106,JUNCTION,0.00,0.00,-12.12,0,00:00,0.00
107,JUNCTION,0.00,0.00,-14.89,0,00:00,0.00
108,JUNCTION,0.00,0.00,-6.80,0,00:00,0.00
109,JUNCTION,0.00,0.00,-20.88,0,00:00,0.00
110,JUNCTION,0.00,0.00,-20.91,0,00:00,0.00
111,JUNCTION,0.00,0.00,-20.98,0,00:00,0.00
112,JUNCTION,0.00,0.00,-21.00,0,00:00,0.00
113,JUNCTION,0.00,0.00,-80.80,0,00:00,0.00
114,JUNCTION,0.00,0.00,-83.18,0,00:00,0.00
115,JUNCTION,0.00,0.00,-71.75,0,00:00,0.00
116,JUNCTION,0.00,0.00,-71.87,0,00:00,0.00
117,JUNCTION,0.00,0.00,-98.50,0,00:00,0.00
118,JUNCTION,0.00,0.00,-22.98,0,00:00,0.00
119,JUNCTION,0.00,0.00,-20.15,0,00:00,0.00
120,JUNCTION,0.00,0.00,-17.42,0,00:00,0.00
121,JUNCTION,0.00,0.00,-3.19,0,00:00,0.00
122,JUNCTION,0.00,0.00,-3.43,0,00:00,0.00
123,JUNCTION,0.00,0.00,-10.64,0,00:00,0.00
124,JUNCTION,0.00,0.00,-6.50,0,00:00,0.00
125,JUNCTION,0.00,0.00,-7.20,0,00:00,0.00
126,JUNCTION,0.00,0.00,-19.38,0,00:00,0.00
127,JUNCTION,0.00,0.00,-11.21,0,00:00,0.00
128,JUNCTION,0.00,0.00,-11.70,0,00:00,0.00
