Node,Type,Average Depth Feet,Maximum Depth Feet,Maximum HGL Feet,Time of Max Occurence days,hr:min, Reported Max Depth Feet
1,JUNCTION,0.00,0.00,10.01,0,00:00,0.00
2,JUNCTION,0.00,0.00,8.99,7,14:00,0.00
3,JUNCTION,11.81,11.81,8.59,7,15:52,11.81
4,JUNCTION,10.15,10.15,8.59,7,21:17,10.15
5,JUNCTION,0.00,0.00,8.59,7,22:47,0.00
6,JUNCTION,4.59,4.72,6.39,7,17:18,4.68
7,JUNCTION,8.52,8.67,6.41,7,17:18,8.60
8,JUNCTION,54.25,54.55,6.56,7,17:09,54.38
9,JUNCTION,54.22,54.54,6.58,7,17:09,54.32
10,JUNCTION,82.13,82.41,6.54,7,17:09,82.22
11,JUNCTION,92.07,92.30,6.49,7,16:58,92.16
12,JUNCTION,24.69,24.97,6.54,7,22:45,24.78
13,JUNCTION,18.06,18.35,6.55,7,14:38,18.15
14,JUNCTION,17.95,18.26,6.57,7,21:11,18.04
15,JUNCTION,30.74,31.04,6.56,7,16:47,30.86
16,JUNCTION,14.18,14.43,6.51,7,16:47,14.31
19,JUNCTION,25.66,25.82,7.02,7,14:06,25.74
20,JUNCTION,30.66,30.79,6.99,7,14:06,30.73
21,JUNCTION,27.86,27.98,6.98,7,14:06,27.93
22,JUNCTION,19.36,19.44,6.94,7,17:09,19.41
23,JUNCTION,12.06,12.10,6.90,7,19:11,12.09
24,JUNCTION,0.36,0.39,6.89,7,16:22,0.38
25,JUNCTION,0.18,0.19,6.49,7,18:26,0.18
26,JUNCTION,17.86,18.00,6.40,7,17:08,17.94
27,JUNCTION,18.16,18.27,6.37,7,17:09,18.24
28,JUNCTION,14.26,14.35,6.35,7,17:16,14.33
29,JUNCTION,14.26,14.34,6.34,7,17:30,14.34
30,JUNCTION,27.96,28.05,6.35,7,17:14,28.04
31,JUNCTION,28.06,28.15,6.35,7,17:14,28.13
32,JUNCTION,53.86,53.98,6.38,7,17:14,53.93
33,JUNCTION,50.76,50.90,6.40,7,17:13,50.87
34,JUNCTION,17.96,18.08,6.38,7,17:14,18.07
35,JUNCTION,0.00,0.00,21.17,0,00:00,0.00
36,JUNCTION,1.56,1.60,6.90,7,21:01,1.60
37,JUNCTION,1.46,1.49,6.89,7,18:25,1.49
38,JUNCTION,19.86,19.89,6.89,7,16:21,19.88
39,JUNCTION,20.16,20.22,6.92,7,23:07,20.20
40,JUNCTION,41.07,41.16,6.96,7,22:16,41.10
41,JUNCTION,41.06,41.18,6.98,7,22:16,41.11
42,JUNCTION,68.36,68.49,6.99,7,22:16,68.42
43,JUNCTION,71.76,71.86,6.96,7,14:40,71.81
44,JUNCTION,33.06,33.14,6.94,7,15:58,33.12
45,JUNCTION,33.06,33.14,6.94,7,20:38,33.12
46,JUNCTION,23.27,23.41,7.01,7,23:24,23.33
47,JUNCTION,23.36,23.56,7.06,7,23:24,23.45
48,JUNCTION,34.67,34.89,7.09,7,23:24,34.74
49,JUNCTION,21.17,21.40,7.10,7,23:24,21.25
50,JUNCTION,21.16,21.38,7.08,7,23:24,21.25
51,JUNCTION,17.37,17.48,6.98,7,23:24,17.45
52,JUNCTION,3.87,3.96,6.96,7,20:38,3.94
53,JUNCTION,27.32,29.47,7.37,7,16:06,28.56
54,JUNCTION,6.12,6.77,5.87,7,21:19,6.60
55,JUNCTION,5.22,5.80,5.80,7,21:18,5.53
56,JUNCTION,18.92,19.73,6.03,7,18:07,19.48
57,JUNCTION,18.42,19.28,6.08,7,18:07,19.01
58,JUNCTION,25.72,27.21,6.71,7,18:07,26.31
59,JUNCTION,25.82,27.35,6.75,7,18:07,26.39
60,JUNCTION,0.00,0.00,7.19,7,14:00,0.00
61,JUNCTION,0.00,0.00,12.80,0,00:00,0.00
62,JUNCTION,0.00,0.00,15.00,0,00:00,0.00
63,JUNCTION,0.00,0.00,22.00,0,00:00,0.00
64,JUNCTION,0.00,0.00,18.00,0,00:00,0.00
65,JUNCTION,0.00,0.00,11.00,0,00:00,0.00
66,JUNCTION,9.26,9.35,6.35,7,17:14,9.34
67,JUNCTION,11.96,12.04,6.34,7,17:13,12.03
70,JUNCTION,32.26,32.36,6.36,7,17:13,32.33
71,JUNCTION,17.45,17.55,6.36,7,17:12,17.52
72,JUNCTION,21.52,23.74,7.44,7,16:04,22.58
73,JUNCTION,22.24,25.84,8.84,7,21:15,23.50
74,JUNCTION,10.25,12.47,7.47,7,14:40,11.96
75,JUNCTION,17.14,30.00,18.10,7,21:16,18.30
76,JUNCTION,8.24,10.07,7.07,7,21:15,8.78
77,JUNCTION,11.50,13.67,7.42,7,21:15,12.12
78,JUNCTION,24.92,25.73,6.03,7,21:21,25.61
79,JUNCTION,24.92,25.74,6.04,7,21:20,25.59
80,JUNCTION,17.82,18.68,6.08,7,21:20,18.56
81,JUNCTION,17.82,18.71,6.11,7,21:21,18.58
82,JUNCTION,10.22,11.18,6.18,7,21:21,11.01
83,JUNCTION,22.97,23.08,6.98,7,22:16,23.00
84,JUNCTION,22.97,23.08,6.98,7,18:08,23.01
85,JUNCTION,50.57,50.66,6.96,7,22:16,50.60
86,JUNCTION,58.17,58.24,6.94,7,22:31,58.20
87,JUNCTION,46.87,46.91,6.91,7,20:44,46.89
88,JUNCTION,43.87,43.92,6.92,7,20:44,43.89
89,JUNCTION,43.87,43.95,6.95,7,16:05,43.91
90,JUNCTION,29.87,29.95,6.95,7,16:04,29.91
91,JUNCTION,11.67,11.72,6.92,7,20:32,11.70
92,JUNCTION,7.67,7.73,6.93,7,20:32,7.70
18,JUNCTION,21.52,23.25,6.95,7,16:06,22.53
100,JUNCTION,33.84,35.09,6.47,7,16:06,34.59
102,JUNCTION,4.21,4.21,-21.43,7,14:16,4.21
103,JUNCTION,0.95,0.95,-21.43,7,14:10,0.95
104,JUNCTION,0.94,0.94,-21.43,7,14:21,0.94
105,JUNCTION,0.00,0.00,-20.44,0,00:00,0.00
106,JUNCTION,0.00,0.00,-12.12,0,00:00,0.00
107,JUNCTION,0.00,0.00,-14.89,0,00:00,0.00
108,JUNCTION,0.00,0.00,-6.80,0,00:00,0.00
109,JUNCTION,0.00,0.00,-20.88,0,00:00,0.00
110,JUNCTION,0.00,0.00,-20.91,0,00:00,0.00
111,JUNCTION,0.00,0.00,-20.98,0,00:00,0.00
112,JUNCTION,0.00,0.00,-21.00,0,00:00,0.00
113,JUNCTION,0.00,0.00,-80.80,0,00:00,0.00
114,JUNCTION,0.00,0.00,-83.18,0,00:00,0.00
115,JUNCTION,0.00,0.00,-71.75,0,00:00,0.00
116,JUNCTION,0.00,0.00,-71.87,0,00:00,0.00
117,JUNCTION,0.00,0.00,-98.50,0,00:00,0.00
118,JUNCTION,0.00,0.00,-22.98,0,00:00,0.00
119,JUNCTION,0.00,0.00,-20.15,0,00:00,0.00
120,JUNCTION,0.00,0.00,-17.42,0,00:00,0.00
121,JUNCTION,0.00,0.00,-3.19,0,00:00,0.00
122,JUNCTION,0.00,0.00,-3.43,0,00:00,0.00
123,JUNCTION,0.00,0.00,-10.64,0,00:00,0.00
124,JUNCTION,0.00,0.00,-6.50,0,00:00,0.00
125,JUNCTION,0.00,0.00,-7.20,0,00:00,0.00
126,JUNCTION,0.00,0.00,-19.38,0,00:00,0.00
127,JUNCTION,0.00,0.00,-11.21,0,00:00,0.00
128,JUNCTION,0.00,0.00,-11.70,0,00:00,0.00
129,JUNCTION,0.00,0.00,-14.32,0,00:00,0.00
130,JUNCTION,0.00,0.00,-5.69,0,00:00,0.00
131,JUNCTION,0.00,0.00,31.65,0,00:00,0.00
132,JUNCTION,0.00,0.00,31.36,0,00:00,0.00
133,JUNCTION,0.00,0.00,40.24,0,00:00,0.00
134,JUNCTION,0.00,0.00,44.72,0,00:00,0.00
135,JUNCTION,0.00,0.00,44.62,0,00:00,0.00
136,JUNCTION,0.00,0.00,44.35,0,00:00,0.00
137,JUNCTION,0.00,0.00,34.51,0,00:00,0.00
138,JUNCTION,0.00,0.00,52.23,0,00:00,0.00
139,JUNCTION,0.00,0.00,49.93,0,00:00,0.00
140,JUNCTION,0.00,0.00,45.20,0,00:00,0.00
141,JUNCTION,0.00,0.00,49.13,0,00:00,0.00
142,JUNCTION,0.00,0.00,40.05,0,00:00,0.00
143,JUNCTION,0.00,0.00,39.90,0,00:00,0.00
148,JUNCTION,31.50,33.45,7.19,7,14:40,32.03
68,OUTFALL,0.00,0.84,7.34,7,21:15,0.00
69,OUTFALL,0.25,1.24,6.24,7,21:15,0.52
93,OUTFALL,0.00,0.00,13.89,0,00:00,0.00
94,OUTFALL,0.00,0.00,10.51,0,00:00,0.00
95,OUTFALL,0.08,0.08,12.78,8,00:00,0.08
96,OUTFALL,0.00,0.00,31.60,0,00:00,0.00
97,OUTFALL,0.00,0.00,17.55,0,00:00,0.00
98,OUTFALL,0.00,0.00,11.00,0,00:00,0.00
99,OUTFALL,0.16,0.57,6.67,7,14:39,0.34
101,OUTFALL,0.07,0.07,11.96,8,00:00,0.07
144,OUTFALL,0.00,0.00,32.22,0,00:00,0.00
145,OUTFALL,0.00,0.00,8.00,0,00:00,0.00
146,OUTFALL,0.00,0.00,39.90,0,00:00,0.00
147,OUTFALL,0.00,0.00,15.00,0,00:00,0.00
